CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,CardHoldersName_1,OrderDollarAmount,NumItems,AvgLineItemPrice,ZipDistance,BillingShippingZipEqual,reported_as_fraud
Yen Albert,5421262921156556,919,,28424 South American Samoa St.,Mount Vernon,USA,56157,Rogan@lectus.com,Yen *Albert,305-395-5629,MT,34060,34060,Yen Albert,276.2,2,130,,1,0.00
Kitra Gallegos,4308563139355851,321,,87078 North Martinique Ave.,Sutter Creek,USA,586605,Shaeleigh@augue.edu,Kitra *Gallegos,113-039-2377,MT,33620,33620,Kitra Gallegos,567.1,2,265,0,1,0.00
Xantha Mcknight,4024007197743866,720,,73098 East Gulfport Blvd.,Malden,USA,738775,Stewart@sollicitudin.org,Xantha *Mcknight,946-818-8835,AK,4113,4113,Xantha Mcknight,690.6,2,325,,1,0.00
Tad Albert,4556939044085784,918,,42649 South Saudi Arabia Ct.,Chandler,USA,479265,Cameran@hymenaeos.us,Tad *Albert,231-630-1877,IA,23866,23866,Tad Albert,65.7,2,31,0,1,0.00
Rachel Mcclain,4190952520188719,919,,38488 South India St.,Shamokin,USA,388590,Aimee@mauris.org,Rachel *Mcclain,299-799-9404,ME,2743,2743,Rachel Mcclain,297.5,2,140,,1,0.00
Lacy Avery,4532430282474251,421,,83883 South Liechtenstein Blvd.,New Bedford,USA,569260,Stephen@sollicitudin.com,Lacy *Avery,455-094-0193,MA,71215,71215,Lacy Avery,535.5,2,252,,1,0.00
Haviva Tyson,4041396888943029,619,,35115 North Bridgeport Ave.,Tucson,USA,478962,Iola@habitant.us,Haviva *Tyson,488-864-8798,FL,47380,47380,Haviva Tyson,337.1,2,157.5,0,1,0.00
Blossom Christensen,4539581169731164,1221,,9021 West Aguadilla Ave.,Santa Clarita,USA,554401,Quintessa@aliquam.com,Blossom *Christensen,092-773-2868,MN,94167,94167,Blossom Christensen,358.1,2,168.5,0,1,0.00
Jocelyn Lott,5596989072533295,1018,,33887 North Corvallis St.,Quincy,USA,111258,Hedda@eros.us,Jocelyn *Lott,635-226-5299,SC,42486,42486,Jocelyn Lott,464.3,2,218.5,,1,0.00
Harding Holland,4024007132374579,722,,62612 South Bahrain Way,Oswego,USA,512755,Sharon@Nulla.edu,Harding *Holland,847-892-2654,WV,4144,4144,Harding Holland,,0,,,1,0.00
Norman Lambert,6011707019194046,320,,13568 West Timor-leste St.,Council Bluffs,USA,961896,Bruno@luctus.gov,Norman *Lambert,338-937-7199,MI,3066,3066,Norman Lambert,405.9,2,191,,1,0.00
Elaine Gilliam,5572951525989423,1019,,74919 West Pakistan St.,San Fernando,USA,137581,Reece@montes.edu,Elaine *Gilliam,131-140-2044,KS,49657,49657,Elaine Gilliam,243.8,2,115,0,1,0.00
Talon Warner,5212166761855016,1022,,78642 East Crown Point Ln.,Santa Cruz,USA,172325,Ila@consequat.org,Talon *Warner,125-937-6907,IL,92725,92725,Talon Warner,207.2,2,97.5,,1,0.00
Adam Baker,4556236315064741,619,,46210  Brunei Darussalam Blvd.,Dunkirk,USA,717677,Jonas@interdum.com,Adam *Baker,269-696-1139,IL,3222,3222,Adam Baker,,0,,0,1,0.00
Meredith Kirby,4532961861776963,220,,8977 East Ukraine Ln.,Cincinnati,USA,585983,Hakeem@sociis.gov,Meredith *Kirby,785-729-9213,UT,8421,8421,Meredith Kirby,196.6,2,92.5,,1,0.00
Remedios Morales,5354053575427687,621,,91481 West Malaysia Ave.,Opelousas,USA,135668,Shelby@Aliquam.gov,Remedios *Morales,841-738-9277,AK,8847,8847,Remedios Morales,304.9,2,143.5,,1,0.00
Ryder Morrison,5589054740227124,1118,,65460 South Muncie Blvd.,Liberal,USA,125416,Elaine@interdum.org,Ryder *Morrison,805-740-5989,CA,18552,18552,Ryder Morrison,281.6,2,132.5,,1,0.00
Rowan Leonard,4716932359961415,1118,,'87636 South Virgin Islands, British Ct.',Rehoboth Beach,USA,510479,Hiroko@in.us,Charissa *Smith,846-851-3259,VA,88726,51700,Rowan Leonard,1917.8,2,902.5,,0,1.00
Chava Larson,4024007125447622,620,,82561 West Mongolia Ln.,Lynwood,USA,760828,Bryar@elit.us,Chava *Larson,675-639-2073,ME,95918,95918,Chava Larson,4020.5,4,935,0,1,0.00
Mannix Howell,4556886840965612,221,,290 East Mauritania Way,Kenner,USA,694300,September@faucibus.net,Mannix *Howell,275-595-6412,MI,73158,73158,Mannix Howell,748,4,176,,1,0.00
Christen Duke,4532030167434576,522,,99941 West Croatia St.,Warren,USA,439421,Coby@metus.edu,Christen *Duke,456-076-1140,ND,31889,31889,Christen Duke,3697.5,2,1740,,1,1.00
Abbot Thornton,4716441098536389,218,,60916 East Pittston Ln.,Harrisburg,USA,688688,Kibo@vehicula.net,Rajah *Ramos,493-532-7807,WY,4466,79716,Abbot Thornton,510,2,240,,0,0.00
Jelani Deleon,5498958367811863,221,,63014 North Cortland St.,Winooski,USA,131679,Garrett@sociosqu.gov,Robin *Bowman,980-322-6928,LA,81249,55040,Jelani Deleon,223.1,2,105,,0,0.00
Henry Heath,4485610211750049,1022,,53825 West Enid Way,Duarte,USA,786378,Ronan@Donec.us,Henry *Heath,509-103-9219,DE,12918,12918,Henry Heath,72.4,3,22.3,0,1,0.00
Uma Oneal,372359822352720,1019,,8370 East Rwanda Way,Carolina,USA,925341,TaShya@ligula.us,Uma *Oneal,043-539-0830,NJ,83158,83158,Uma Oneal,1955,5,368,,1,1.00
Halee Rowe,5599682066888448,419,,83368 West Bermuda Way,Shamokin,USA,170856,Vincent@nisl.gov,Halee *Rowe,748-933-0002,NH,37866,37866,Halee Rowe,220.7,3,67.3,0,1,1.00
Darryl Lester,4024007178319967,618,,30545  Harrisburg Way,Hopkinsville,USA,545561,Jenette@malesuada.gov,Darryl *Lester,365-589-8080,WY,19263,19263,Darryl Lester,2422.5,3,760,,1,0.00
Marvin Fitzgerald,4024007140388074,118,,24684 East Agawam Way,Radford,USA,610122,Venus@aliquet.us,Marvin *Fitzgerald,179-499-4541,OH,62893,62893,Marvin Fitzgerald,3287.7,8,385.9,0,1,1.00
Lee Cochran,4499770551688169,919,,19013 East Belize Ct.,Monroe,USA,532364,Tanner@lectus.edu,Lee *Cochran,706-937-3271,NJ,47169,47169,Lee Cochran,3633.8,3,1140,0,1,0.00
Anthony Hendrix,5480327703491394,819,,18922 South Maldives Way,Butte,USA,279214,Camden@Donec.net,Kathleen *Alston,256-360-7124,MI,23839,65531,Anthony Hendrix,235.9,3,74.7,,0,0.00
Brielle Goodwin,4716094808013593,719,,77863 South Dallas St.,Franklin,USA,420059,Lael@ligula.edu,Kyla *Williams,619-904-1838,KS,46738,71920,Brielle Goodwin,,0,,667.8,0,0.00
Cadman Hayes,4485849821714413,618,,68221  Italy Blvd.,Denver,USA,358407,Nehru@consequat.edu,Jessica *Dawson,433-412-8153,MA,96451,7390,Cadman Hayes,318.8,2,150,,0,1.00
Ray Kemp,4929509558047817,820,,78048 East Central African Republic St.,Wilkes-Barre,USA,382411,Iona@nec.edu,Ray *Kemp,801-492-7998,MI,69307,69307,Ray Kemp,2899.6,7,389.9,,1,0.00
Anthony Blackwell,341079121558037,719,,41075  Trinidad and Tobago Ln.,Attleboro,USA,911426,Kuame@dapibus.net,Kay *Smith,070-693-5183,MN,49023,38730,Anthony Blackwell,2342.6,5,442,614.4,0,0.00
Scott Ferrell,5136087461596333,519,,89692 North Saint Kitts and Nevis Way,Middletown,USA,46780,Hanae@euismod.gov,Isadora *Dorsey,244-981-3126,GA,60407,66972,Scott Ferrell,616.2,2,290,,0,0.00
Steel Gardner,5243980407835502,1022,,1480 West Pottsville Ct.,Charlotte Amalie,USA,316376,Stone@Mauris.org,Steel *Gardner,923-561-5582,NV,72199,72199,Steel Gardner,1113.7,6,172.7,0,1,0.00
Kiara Guzman,4539502062158313,619,,39221  Meriden Blvd.,Farrell,USA,512565,Duncan@metus.net,Kiara *Guzman,077-327-3814,UT,78977,78977,Kiara Guzman,2018.8,7,271.4,,1,1.00
Roth Barron,5387981915049483,1122,,64649 South Cypress Ct.,Weirton,USA,225741,Lillith@Curabitur.net,Roth *Barron,790-663-8086,IA,63975,63975,Roth Barron,1298.4,2,611,,1,0.00
Fiona Jarvis,5516691233935701,619,,9595 East British Indian Ocean Territory Ln.,Boston,USA,324778,Xander@venenatis.edu,Colin *Pierce,293-792-0175,AL,53396,73579,Fiona Jarvis,456.9,2,215,,0,0.00
Dora Estrada,4929557042803055,421,,13874 North Tajikistan Ave.,Fort Lauderdale,USA,791882,Vielka@torquent.net,Cheyenne *Justice,464-895-4694,NJ,5180,60421,Dora Estrada,207.2,2,97.5,,0,0.00
Constance Sharpe,5447590246359715,221,,56454  Saint Pierre and Miquelon St.,Sonoma,USA,25574,Keane@facilisi.us,Constance *Sharpe,446-763-0797,IN,8935,8935,Constance Sharpe,1131.6,2,532.5,,1,0.00
Carl Mcgowan,4700881137241897,218,,18135  China Ave.,New Castle,USA,490798,Edan@tempus.net,Ima *Emerson,163-412-4621,ME,23319,82391,Carl Mcgowan,179.6,2,84.5,,0,0.00
Dante Stein,5393027671684980,721,,'79748 North Iran, Islamic Republic of St.',Staunton,USA,254452,Amal@Maecenas.org,Mark *Park,406-937-3484,IL,52652,14606,Dante Stein,,0,,723.7,0,0.00
Ali Schultz,371085639365339,1120,,14557 South Djibouti Ln.,Texarkana,USA,919163,Hollee@urna.net,Stuart *Dickerson,698-979-1095,NV,32540,81776,Ali Schultz,326.5,2,154,,0,0.00
Keely Fitzgerald,4716204595355871,1020,,89663 North Djibouti Way,Altoona,USA,722504,Mechelle@rhoncus.net,Chantale *Henderson,444-282-3611,IA,12387,96199,Keely Fitzgerald,3895.1,5,733.2,,0,0.00
Iona Rosario,5374436999743944,822,,90702 West Morocco Way,La Cañada Flintridge,USA,25625,Hoyt@magna.com,Iona *Rosario,259-019-0730,NC,26426,26426,Iona Rosario,646.6,4,152.5,0,1,0.00
Ruby Everett,373673131366190,122,,3005 North Congo St.,Buffalo,USA,821209,Ray@eleifend.net,Ruby *Everett,108-066-3985,PA,4457,4457,Ruby Everett,476.9,3,150.7,0,1,0.00
Allistair Mendoza,4024007133359447,122,,82997 North Iowa City St.,Stanton,USA,507206,Nolan@ad.org,Allistair *Mendoza,137-288-9222,WY,16761,16761,Allistair Mendoza,2103.8,2,990,,1,0.00
Tobias Herrera,4716494728467178,621,,69398 East American Samoa Blvd.,Baton Rouge,USA,651155,Caleb@sodales.net,Kaseem *Thompson,269-081-8838,OR,92334,16463,Tobias Herrera,3758.4,2,1740,,0,0.00
Mufutau Hicks,343188620753607,419,,94189 West Chile St.,North Las Vegas,USA,920327,Tatiana@iaculis.org,Mufutau *Hicks,079-595-0362,FL,48025,48025,Mufutau Hicks,415.5,3,130.7,0,1,0.00
Natalie Sparks,4539098194828519,221,,35437  Gambia Ct.,Canton,USA,708067,Aristotle@litora.us,Natalie *Sparks,821-180-4080,IL,77947,77947,Natalie Sparks,1462,3,458.7,,1,1.00
Willow Spencer,4556739337347812,422,,74068 West Charlotte Blvd.,Mesquite,USA,446888,Wyatt@Aliquam.edu,Seth *Joseph,554-639-0206,ID,67582,38471,Willow Spencer,2353.4,3,738.3,,0,1.00
Evan Ellison,5328780774919212,622,,56869  East Rutherford St.,Pueblo,USA,267850,Hop@eleifend.gov,Stone *Nguyen,831-731-8301,OK,54277,81707,Evan Ellison,637.5,2,300,,0,0.00
Kelly Kline,5178050258519917,523,,64345 West Aruba Ave.,Jonesboro,USA,242043,Palmer@nibh.com,Kelly *Kline,049-663-5312,WI,98835,98835,Kelly Kline,2709.4,3,850,,1,1.00
Wynter Kelly,5129276463569898,320,,53131 West Christiansted Blvd.,Highland Park,USA,25730,Hedda@lacinia.gov,Wynter *Kelly,777-486-5969,VT,27845,27845,Wynter Kelly,263.7,3,82.3,0,1,0.00
Dane Beasley,5389700225824387,1023,,31608  Aliso Viejo St.,Kahului,USA,299401,Odette@hendrerit.net,Felix *Wallace,980-715-7911,MI,2618,30491,Dane Beasley,,0,,,0,0.00
MacKensie Reeves,4539435363302407,722,,77250  Burundi Way,Inglewood,USA,620365,Gwendolyn@est.us,MacKensie *Reeves,867-255-9188,PA,35893,35893,MacKensie Reeves,850.2,3,260,0,1,1.00
Scott Ayers,340015561642544,720,,17607 East Slovakia Ave.,Sutter Creek,USA,846338,Veda@taciti.us,Scott *Ayers,101-951-7625,MN,19987,19987,Scott Ayers,1503.4,3,471.7,,1,0.00
Hayfa English,340513816226816,220,,12209 East China Ave.,Nenana,USA,904080,Ivy@Aliquam.net,Hayfa *English,719-558-5484,WY,74635,74635,Hayfa English,1375.9,3,431.7,,1,0.00
Yetta Wall,4078659385353802,722,,3220  Morocco St.,Chicago,USA,609442,Quinn@aptent.com,Yetta *Wall,740-148-2180,MI,27258,27258,Yetta Wall,5166.7,2,2420,,1,0.00
Myra Arnold,6011781603570101,720,,27929 West Afghanistan St.,Branson,USA,998838,Amery@Duis.net,Hashim *Langley,924-285-3673,ME,68559,68430,Myra Arnold,207.2,2,97.5,,0,0.00
Buffy Noble,4374684210388709,122,,92960  Bermuda Ct.,Jefferson City,USA,710465,Lionel@molestie.gov,Buffy *Noble,346-822-8514,MA,58596,58596,Buffy Noble,1928.4,2,907.5,,1,0.00
Madison Clements,5355709400485021,1120,,98941 West Cocos (Keeling) Islands Ln.,Bell Gardens,USA,89703,Hadley@et.net,Madison *Clements,410-282-4282,AL,31073,31073,Madison Clements,2295,3,720,0,1,0.00
Phelan Copeland,6011738476222442,319,,59443 North Jersey City Ct.,Hornell,USA,966780,Gisela@arcu.net,Brennan *Camacho,298-755-8677,MI,92658,93556,Phelan Copeland,972,2,450,131.3,0,0.00
Elaine Ayers,347068724507032,521,,'42931 North Virgin Islands, British Ct.',Rehoboth Beach,USA,839106,Leah@vehicula.gov,Elaine *Ayers,066-782-4292,NC,91899,91899,Elaine Ayers,430.6,3,131.7,0,1,0.00
Elvis Dickerson,5422828216270937,621,,84974 West Grand Junction Blvd.,Fairfax,USA,193981,Colorado@lacus.us,Sybill *Lindsay,791-414-3692,LA,28137,72197,Elvis Dickerson,3417.6,2,1597,,0,1.00
Uriel Mcdonald,5357986445111857,220,,62334  Georgia Ct.,Egg Harbor,USA,320612,Isaac@mollis.net,Chadwick *Bridges,926-462-8528,CO,15777,37113,Uriel Mcdonald,2281.1,5,430.4,,0,0.00
Eric Watson,4485426152009596,920,,96444 North Cape Verde St.,Del Rio,USA,369460,Magee@egestas.org,Eric *Watson,686-898-9812,AL,83389,83389,Eric Watson,5514.4,5,1038,,1,0.00
Kaseem Day,4532269657559845,419,,73157 North San Marino Blvd.,Providence,USA,470919,Marshall@vel.gov,Herrod *Fuller,000-905-2610,WI,79565,14113,Kaseem Day,512.4,2,240,1428.7,0,0.00
Brenna Medina,5572363801739326,719,,76478 North Malta Ln.,Jamestown,USA,270774,Lewis@porta.com,Camden *Clayton,241-550-7013,CA,48538,45393,Brenna Medina,1460.9,4,343.8,,0,0.00
Dane Mcdaniel,345582538188401,219,,4336 North Cary Ln.,Saint Joseph,USA,852797,Christine@quam.us,Shaine *Gardner,170-336-1471,NC,67315,72633,Dane Mcdaniel,2550,3,800,,0,0.00
Lars Avery,373636998835169,919,,84810 North Lebanon Ct.,Erie,USA,931174,Lavinia@natoque.gov,Kyle *Hawkins,807-478-4621,AK,70977,71884,Lars Avery,196.6,2,92.5,,0,0.00
Elmo Roach,4716801863134506,719,,2486  Minnetonka Blvd.,Deadwood,USA,663177,Yetta@neque.us,Candice *Jacobson,456-989-7585,ND,43861,31462,Elmo Roach,5440,4,1280,,0,0.00
Neville Trevino,4367465676367968,1020,,47973 North Klamath Falls Blvd.,Ontario,USA,360796,Hanae@facilisis.org,Neville *Trevino,859-069-0907,MI,73816,73816,Neville Trevino,405.9,3,127.3,,1,1.00
Charissa Garrett,5467279388122041,918,,364 East Burundi Blvd.,Casper,USA,336770,Elvis@metus.us,Kellie *Fischer,149-251-4143,DE,23209,35503,Charissa Garrett,1222.9,7,164.4,,0,1.00
Yen Mccarthy,345078568496293,720,,84681 North Biddeford Ln.,Orangeburg,USA,814814,Chancellor@Praesent.edu,Deacon *Anderson,145-201-9916,AL,14280,17873,Yen Mccarthy,391.5,2,180,,0,0.00
Amir Robbins,4929591825031337,619,,16585 South Fort Worth Ave.,Pembroke Pines,USA,696734,Stacy@turpis.org,Amir *Robbins,425-768-5180,MA,21107,21107,Amir Robbins,3825,2,1800,,1,1.00
Herrod Burnett,6011330892283248,122,,62586  Mauritius Ln.,East Hartford,USA,996411,Odysseus@placerat.net,Herrod *Burnett,121-331-5827,MT,65694,65694,Herrod Burnett,733.1,3,230,,1,0.00
Danielle Briggs,5379263355444668,619,,83077 South Costa Rica St.,Virginia Beach,USA,26029,Keaton@taciti.net,Danielle *Briggs,923-631-2695,IA,62424,62424,Danielle Briggs,3686,4,865.2,0,1,0.00
Tyrone Morrison,4916356467312279,820,,52235 South Bahrain Ln.,Beverly Hills,USA,372568,Kelly@facilisi.edu,Mohammad *Talley,820-183-5299,WV,69535,86229,Tyrone Morrison,334.7,2,157.5,,0,0.00
Grant Fowler,4556962796584812,1121,,34434 South Australia St.,Shamokin,USA,511921,Ezra@egestas.us,Hoyt *Briggs,790-340-7578,NV,15180,38716,Grant Fowler,3529.6,2,1661,,0,0.00
Adara Bond,5248359281243890,522,,7156  Bolivia Way,Lodi,USA,186892,Charde@malesuada.net,Adara *Bond,951-013-1360,IL,5602,5602,Adara Bond,2544,2,1200,0,1,0.00
Deacon Hays,4329403027179920,1019,,'36976 West Palestinian Territory, Occupied Way',Albuquerque,USA,702689,Barrett@rutrum.us,Hayes *Mosley,157-645-0189,UT,13459,25327,Deacon Hays,1436.4,3,443.3,479,0,0.00
Brennan Rutledge,5405811137038279,419,,84599  New Albany Blvd.,Abilene,USA,335271,Jonah@malesuada.us,Brennan *Rutledge,611-108-6933,VA,84633,84633,Brennan Rutledge,2060.3,3,643.3,0,1,0.00
Laura Hartman,5103501889440550,1018,,71116 North Camden St.,Moorhead,USA,105098,Price@lorem.us,Laura *Hartman,948-045-0687,WI,98757,98757,Laura Hartman,3559.4,2,1675,,1,1.00
Adena Emerson,5428515761239813,1119,,30093 East Belize St.,Houma,USA,123671,Hop@Cum.edu,Adena *Emerson,271-228-7676,AZ,61797,61797,Adena Emerson,2392.8,5,450.4,,1,0.00
Eagan Rasmussen,4539360729297515,423,,83018 West Grambling Ct.,Fresno,USA,755376,Lawrence@ad.gov,Adam *Dean,868-140-9987,KS,59408,41809,Eagan Rasmussen,510,2,240,,0,1.00
Reece Shelton,4556901087948260,1120,,25542  Gloversville Blvd.,La Habra,USA,474547,Janna@ut.com,Erich *Weiss,259-199-5005,SC,14740,75947,Reece Shelton,,0,,1101.5,0,0.00
Gil Gallagher,6011659000720893,621,,75450 West Council Bluffs Blvd.,Cincinnati,USA,934546,Jasmine@dapibus.net,Gil *Gallagher,912-412-0589,MS,11637,11637,Gil Gallagher,2103.8,2,990,,1,1.00
Francis Stewart,341479397669494,119,,63330 North French Southern Territories St.,Duluth,USA,830106,Jaquelyn@cursus.us,Len *Humphrey,226-354-6801,NH,44667,85463,Francis Stewart,3722.2,3,1165,,0,0.00
Julie Hebert,4556158223533684,1020,,34572 East Albania Way,Santa Clara,USA,589029,Berk@hendrerit.com,Colette *Crosby,849-575-4451,VT,4304,41346,Julie Hebert,170,2,80,,0,0.00
Orson Boyer,5152385402831259,1019,,87126 East Monterey Way,Tempe,USA,26147,Holly@euismod.us,Orson *Boyer,327-749-4283,NE,12722,12722,Orson Boyer,291.6,3,90,0,1,0.00
Jada Delgado,5468738504131490,623,,25293 North Madagascar Ln.,Guánica,USA,173839,Noel@eu.gov,Garth *Mays,224-585-2244,MN,19584,98781,Jada Delgado,1221.9,5,230,,0,0.00
Yuli Ware,372422089561787,119,,86211 North Uganda Ln.,Pasco,USA,930525,Candice@morbi.us,Yuli *Ware,432-472-3316,NE,69984,69984,Yuli Ware,342.1,3,107.3,,1,0.00
Illiana Byers,5477732089996632,321,,66572 East Barbados Ln.,Bellflower,USA,281617,Kennedy@mus.edu,Illiana *Byers,078-793-2331,LA,29172,29172,Illiana Byers,1492.7,3,465,,1,0.00
Lavinia Washington,4716643182075501,219,,28922  Arvada St.,Dubuque,USA,698642,Griffin@interdum.org,Lavinia *Washington,885-519-1120,AZ,35202,35202,Lavinia Washington,353.1,3,107,0,1,0.00
Rebekah Houston,5489474476063215,321,,61827 South Togo Ln.,Clemson,USA,196316,Boris@mus.us,Coby *Collins,580-838-4050,AL,73555,62520,Rebekah Houston,1809.4,3,553.3,638.9,0,0.00
Rooney Mann,4165282801813905,620,,50812 West Ghana Ln.,Arlington,USA,410986,Cameron@Proin.org,Rooney *Mann,401-448-3012,DE,65063,65063,Rooney Mann,1247.6,3,393.3,0,1,0.00
Paki Parrish,6011856395359499,1122,,1005 North Hungary Ave.,Wheeling,USA,936037,Dieter@faucibus.org,Paki *Parrish,196-210-1363,KY,55963,55963,Paki Parrish,1763.4,6,275,0,1,0.00
Autumn Sweet,4477881042905645,721,,85720 North Cedar Rapids Way,Scottsdale,USA,477089,Akeem@metus.us,Steven *Little,211-143-6547,PA,57975,34295,Autumn Sweet,881.9,3,276.7,,0,1.00
Indigo Boone,5194955881243224,219,,46709  Barbados Ln.,Overland Park,USA,312031,Montana@tempus.gov,Brenna *Olsen,262-719-1705,NJ,39173,35034,Indigo Boone,781.1,2,365,183.1,0,0.00
Preston Duran,4556487697082278,1120,,83916  Gabon Ct.,Barrow,USA,555574,Macey@inceptos.edu,Geraldine *Hinton,772-375-8786,DE,52330,98531,Preston Duran,150.9,2,70.5,1567.8,0,0.00
Chadwick Long,5502242451332274,322,,76741 South Barbados Ln.,Glens Falls,USA,46971,Brendan@gravida.net,Winifred *Ross,912-793-5610,NJ,99220,34773,Chadwick Long,827.2,3,253.7,2366.4,0,0.00
Camilla Levine,5452533693493522,820,,37927 South Crown Point St.,Fairmont,USA,158134,Anastasia@ridiculus.net,Camilla *Levine,668-308-6520,WY,1771,1771,Camilla Levine,2433.1,7,327.1,,1,0.00
Connor Steele,5124973459789218,523,,99270 East Bulgaria Ave.,Springfield,USA,46991,Samuel@mauris.edu,Hyatt *Woods,869-848-5975,CT,86156,44776,Connor Steele,352.8,3,110.7,,0,1.00
Jermaine Lara,5103379763540716,719,,10244 West Bosnia and Herzegovina Ave.,Nenana,USA,56660,Griffith@fames.edu,Jermaine *Lara,196-760-6871,MT,74275,74275,Jermaine Lara,456.9,2,215,,1,0.00
Oprah Wong,5221608468907227,1020,,79385 East Christmas Island Ave.,Vicksburg,USA,56669,Dalton@congue.com,Oprah *Wong,192-970-9032,MA,40162,40162,Oprah Wong,275.6,2,130,0,1,0.00
Sylvia Frye,4532515816591420,820,,76539  Guyana Way,Owensboro,USA,443756,Jaquelyn@penatibus.us,Sylvia *Frye,835-851-4147,KY,53238,53238,Sylvia Frye,276.2,2,130,,1,0.00
Tobias Patrick,349253748108144,1121,,43903  Canton Ct.,Weymouth,USA,809160,Wang@Ut.org,Tobias *Patrick,668-276-8019,NE,45161,45161,Tobias Patrick,,0,,,1,0.00
Forrest Best,4024007194424932,1222,,38279 East Canton Blvd.,Highland Park,USA,538065,Herman@Duis.us,Forrest *Best,457-323-5181,AK,15063,15063,Forrest Best,108.1,2,51,0,1,0.00
Scarlett Jensen,4929045695113360,1120,,29148 East Sweden Ct.,Hawthorne,USA,677387,Oren@pulvinar.edu,Scarlett *Jensen,970-783-1424,OH,8237,8237,Scarlett Jensen,76.5,2,36,0,1,0.00
Alec Blanchard,6011660908836831,420,,4825 East Kenya St.,Bethany,USA,988876,Cairo@eget.edu,Alec *Blanchard,656-176-9066,VA,33522,33522,Alec Blanchard,289,2,136,,1,0.00
September Hale,347647529179822,822,,11193 West United States Ave.,Meridian,USA,901702,Amber@Donec.gov,September *Hale,722-657-8424,AK,29207,29207,September Hale,518.4,2,240,0,1,0.00
Joelle Daniels,4929514016906067,1120,,99759 West Athens Ave.,Orem,USA,528202,Drew@Vestibulum.edu,Joelle *Daniels,416-746-4265,CT,46404,46404,Joelle Daniels,,0,,0,1,0.00
Faith Patton,4916667540959112,1122,,67276 South Akron St.,San Marino,USA,441871,Uma@penatibus.org,Faith *Patton,528-677-3989,NM,19327,19327,Faith Patton,320.9,2,151,,1,0.00
Iris Fry,5146507156456665,623,,53789  Commerce Way,Paterson,USA,56854,Fay@ut.us,Iris *Fry,967-523-6570,NC,35690,35690,Iris Fry,170,2,80,,1,0.00
Hilary Deleon,5392771880658753,420,,46867 West Nepal Blvd.,Vacaville,USA,288100,Linda@consectetuer.org,Hilary *Deleon,084-258-0650,AK,44616,44616,Hilary Deleon,616.2,2,290,,1,0.00
Signe Cox,370037437160843,819,,19287 North Canada Ln.,Greensboro,USA,832963,Callum@Cras.edu,Signe *Cox,317-707-1072,MO,20494,20494,Signe Cox,111.6,2,52.5,,1,0.00
Hayes Santos,4916638716578127,520,,55391 South Falls Church Way,Grand Rapids,USA,774562,Solomon@netus.net,Hayes *Santos,330-796-1147,AK,12925,12925,Hayes Santos,129.6,2,61,,1,0.00
Reese Davidson,4539538215484396,220,,13520 North Antarctica St.,Hamilton,USA,699944,Lance@varius.edu,Reese *Davidson,450-563-2911,RI,97449,97449,Reese Davidson,265,2,132.5,0,1,0.00
Hop Barton,340925317227913,1122,,32548 South Antigua and Barbuda Ln.,Bethlehem,USA,879942,Colt@non.org,Hop *Barton,873-547-8066,GA,20112,20112,Hop Barton,,0,,0,1,0.00
Emily Benton,5415803965271088,921,,97858 South Jordan Ave.,Gardena,USA,224094,Elijah@tempor.com,Emily *Benton,142-323-4998,AK,54377,54377,Emily Benton,129.6,2,61,,1,0.00
Irma Wade,4485119937721490,1221,,25043 North Myanmar Ave.,Danville,USA,389531,Jerome@dictum.com,Irma *Wade,968-006-5848,HI,22147,22147,Irma Wade,350.6,2,165,,1,0.00
Inez Simon,4024007144125100,522,,53122 East Paraguay Ln.,West Jordan,USA,559745,Eugenia@aptent.gov,Inez *Simon,941-843-9749,LA,39919,39919,Inez Simon,302.8,2,142.5,,1,0.00
Harrison Mitchell,5193952325514873,318,,42812 East Macao Ct.,Springdale,USA,170535,Kenyon@nec.org,Harrison *Mitchell,642-052-1316,AK,43785,43785,Harrison Mitchell,,0,,,1,0.00
Urielle Gamble,4716909961861084,1019,,45664 East Gardner St.,Irwindale,USA,392233,Salvador@gravida.com,Urielle *Gamble,998-919-4256,NC,3426,3426,Urielle Gamble,440.9,2,207.5,,1,0.00
Karina Hamilton,5584775599303047,920,,5829 East Cleveland Way,LaGrange,USA,57035,Giselle@urna.gov,Karina *Hamilton,467-592-2813,HI,30470,30470,Karina Hamilton,340.2,2,157.5,0,1,0.00
Holmes Collins,4539697902096028,622,,66015 East Australia Ct.,Claremont,USA,800380,Irene@porta.net,Holmes *Collins,494-966-2480,KY,60105,60105,Holmes Collins,234.4,2,108.5,0,1,0.00
Amber Bond,6011588356833754,821,,25979 East Belarus Blvd.,Fall River,USA,996492,Martina@gravida.us,Amber *Bond,853-334-0610,NJ,52352,52352,Amber Bond,278.2,2,130,0,1,0.00
Emerson Haney,379417631368619,220,,52251 North Cedar Rapids Ave.,Troy,USA,870598,Amber@ligula.org,Emerson *Haney,607-453-0396,SD,947,947,Emerson Haney,244.4,2,115,,1,0.00
Eagan Vega,5525905523978158,922,,19122 West Ireland Ln.,McAlester,USA,57059,Russell@aptent.us,Eagan *Vega,614-376-3195,VT,75993,75993,Eagan Vega,44.6,2,21,,1,0.00
